BUNNumber,SiteName
3000174,Shute Harbour
3500488,SugarLoaf
3502023,Tamworth East Piper Street
3000230,The Caves
3000658,Uralla
3500312,West Hill
3502350,MQU_Campus-O
3502597,CRAIG AVENUE
3502986,Strathalbyn South
3501211,Ballarat West
3000567,Dudley
3501563,Secret Harbour
3501980,Blacksmith
3502170,Mt Hutton
3502746,Gateshead
3200577,Howard Springs VF
3501879,Caves Beach West
3200050,St Ives VF
3501532,Southern Cross
3501621,Wongan Hills
3501634,Kalannie
3501636,Moorine Rock
3501637,Burracoppin East
3502478,CADOUX
3502480,KOOMBERKINE NORTH
3500809,MILTON VINEYARD
3500840,Bridport
3500813,Scamander
3500814,St Marys
3502740,GHOOLI
3500816,Swansea
3000242,Launceston North
3500803,Hadspen
3500805,RAVENSWOOD EXCHANGE
3500851,Symmons Plains
3200082,Northmead VF
3502286,Cumnock
3500490,Benair
3000049,Eden Valley
3000318,Bendigo
3000358,Portland
